method,beta,fold,seed,task_id,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,0.49560481309890747,0.1077994555234909,0.7089652515934947
naive_adapter,0.0,1,0,2,0.33153289556503296,-0.02292845956981182,0.8502559336411303
naive_adapter,0.0,1,0,3,0.35063403844833374,0.00033602857729420066,0.8393445073643627
naive_adapter,0.0,1,0,4,0.3927845358848572,0.03906581178307533,0.7820006138067414
naive_adapter,0.0,1,0,5,0.40063536167144775,0.030039958655834198,0.7623338177435001
naive_adapter,0.0,1,0,6,0.3677646517753601,0.027181243523955345,0.8215353747601022
naive_adapter,0.0,1,0,7,0.35692456364631653,-0.016584569588303566,0.8039525498534743
naive_adapter,0.0,1,0,8,0.3944111764431,0.027275606989860535,0.7600381705737158
naive_adapter,0.0,1,0,9,0.4027138650417328,0.0294681116938591,0.7402420113346525
naive_adapter,0.0,1,0,10,0.3617289662361145,-0.0034680168610066175,0.8041073767304978
mgp_only,0.0,1,0,1,0.4807479977607727,0.1857771873474121,0.720930779381197
mgp_only,0.0,1,0,2,0.4126792550086975,0.10028032958507538,0.7801095463912209
mgp_only,0.0,1,0,3,0.39142897725105286,0.06498847901821136,0.7712827480385801
mgp_only,0.0,1,0,4,0.39806169271469116,0.05560200661420822,0.7577652309304912
mgp_only,0.0,1,0,5,0.40368029475212097,0.048760466277599335,0.729524231028405
mgp_only,0.0,1,0,6,0.3773805499076843,0.04096110165119171,0.7777302089514828
mgp_only,0.0,1,0,7,0.35959935188293457,0.00010465453669894487,0.7818265252872539
mgp_only,0.0,1,0,8,0.401585191488266,0.03858819976449013,0.7222252784451134
mgp_only,0.0,1,0,9,0.4081609547138214,0.03664036840200424,0.7027289540119486
mgp_only,0.0,1,0,10,0.38999152183532715,0.029133416712284088,0.7586340303840476
